"NLA_ID","BufWidthM","Pop","PopDensityKm2","BufferAreaKm2","BufferAreaKm2Adj","PercentNA","BufType"
"NLA06608-4914",300,5,3.88,1.289,1.289,0,"fixed"
"NLA06608-4914",1000,33,5.13,6.434,6.434,0,"fixed"
"NLA06608-4914",2500,206,7.46,27.608,27.608,0,"fixed"
"NLA06608-4914",362,7,4.31,1.624,1.624,0,"radius"
"NLA06608-3217",300,0,0,1.622,1.622,0,"fixed"
"NLA06608-3217",1000,0,0,7.465,7.465,0,"fixed"
"NLA06608-3217",2500,0,0,30.057,30.057,0,"fixed"
"NLA06608-3217",451,0,0,2.631,2.631,0,"radius"
"NLA06608-3729",300,0,0,1.112,1.112,0,"fixed"
"NLA06608-3729",1000,0,0,5.811,5.811,0,"fixed"
"NLA06608-3729",2500,0,0,26.036,26.036,0,"fixed"
"NLA06608-3729",257,0,0,0.924,0.924,0,"radius"
"NLA06608-ELS:1E3-002",300,0,0,0.976,0.976,0,"fixed"
"NLA06608-ELS:1E3-002",1000,0,0,5.378,5.378,0,"fixed"
"NLA06608-ELS:1E3-002",2500,0,0,25.007,25.007,0,"fixed"
"NLA06608-ELS:1E3-002",273,0,0,0.859,0.859,0,"radius"
"NLA06608-ELS:1E3-071",300,0,0,0.585,0.585,0,"fixed"
"NLA06608-ELS:1E3-071",1000,0,0,4.097,4.097,0,"fixed"
"NLA06608-ELS:1E3-071",2500,0,0,21.832,21.832,0,"fixed"
"NLA06608-ELS:1E3-071",155,0,0,0.233,0.233,0,"radius"
"NLA06608-4797",300,469,176.45,2.658,2.658,0,"fixed"
"NLA06608-4797",1000,1969,200.47,9.822,9.822,0,"fixed"
"NLA06608-4797",2500,8813,250.8,35.14,35.14,0,"fixed"
"NLA06608-4797",352,550,177.42,3.1,3.1,0,"radius"
"NLA06608-0805",300,15,19.06,0.787,0.787,0,"fixed"
"NLA06608-0805",1000,126,26.48,4.759,4.759,0,"fixed"
"NLA06608-0805",2500,752,32.08,23.441,23.441,0,"fixed"
"NLA06608-0805",184,7,16.79,0.417,0.417,0,"radius"
"NLA06608-2149",300,21,45.45,0.462,0.462,0,"fixed"
"NLA06608-2149",1000,118,31.88,3.701,3.701,0,"fixed"
"NLA06608-2149",2500,554,26.6,20.829,20.829,0,"fixed"
"NLA06608-2149",84,3,42.25,0.071,0.071,0,"radius"
"NLA06608-2853",300,13,13.95,0.932,0.932,0,"fixed"
"NLA06608-2853",1000,62,11.8,5.256,5.256,0,"fixed"
"NLA06608-2853",2500,240,9.72,24.679,24.679,0,"fixed"
"NLA06608-2853",294,13,14.22,0.914,0.914,0,"radius"
"NLA06608-1158",300,5,3.58,1.396,1.396,0,"fixed"
